String ID,Category,Explanation,en,sv,ja,zh,ru,de,fr
[color=green]Hampus Mellin [/color]
Ljuddesign, Musik 

[color=green]Isabelle Neuman[/color]
Support för cutscenes

[color=green]Luiza Flôres da Cunha[/color]
Spelets logga, Ljudskådespel 

[font_size={32}]~~~ Verktyg och resurser ~~~ [/font_size]

[color=green]Mjukvara[/color]
Godot - Spelmotor
Asesprite - För att rita grafiken
Github - Source Control

[color=green]Typsnitt[/color]
M5xy av Daniel Linssen: 
https://managore.itch.io/m5x7 

Pixelated Elegance av GGBotNet: 
https://ggbot.itch.io/pixelated-elegance-font 

QuinqueFive av GGBotNet 
https://www.dafont.com/quinquefive.font 

Equipe 9p av Somepx 
https://somepx.itch.io/pixel-font-equipe

Unifont-16.0.04 av Unifoundry
https://unifoundry.com/unifont/index.html 

VonwaonBitmap av Haoyu Qiu 
https://timothyqiu.itch.io/vonwaon-bitmap 

MaruMonica x12y16px 
https://hicchicc.github.io/00ff/ 

[color=green]En tutorial jag använde mig av för att sätta upp ljudsystemet:[/color]
“How I do Sound Effects in Godot” by Aarimous 
https://www.youtube.com/watch?v=Egf2jgET3nQ&t=242s 

[font_size={32}]~~ Perfect Random ~~
distribution[/font_size]

Anton Albiin
 
Simon Pos


[font_size={32}]~~~ Speltestare ~~~ [/font_size]

Luiza Flôres da Cunha
Erik Flôres da Cunha
Malin Larsson
Johanna Larsson 
Ture Hellqvist 
Tekla Larsson 
Billy Rosehag 
Lukas Orsvärn 
Johanna Österlind
Tanel (Forestherd) Marran
Markus Månsson
Keira Lundberg Larsson
Victor Werngren
Oliver Lincke 
Jesper Krogh Kristiansen 
Gaspar Stiglich
Markus Noren
InfiRandia
Henry Fåhrelius
Marcus Ingvarsson
Johanna Österlind
Martin Silve
Ossian Borén aka catnipped
Flamegirl & Snorkelitzor
Robert Olsén
Jacob Lind


[font_size={32}]~~~ Tack till ~~~[/font_size]

Tanel (Forestherd) Marran för support och pepp
Malmö Devhub Game Habitat - Ett fantastiskt coworking space 
TF Malmö Discord 

Lulu Flôres da Cunha 





Hejdå!
","[center]Drill Birdをプレイしてくれてありがとう！





[font_size={32}]~~~ DrillBirdの貢献者たち ~~~[/font_size]

[color=green]Sebastian Larsson[/color]
デザイン、コード、アート

[color=green]Andrea Harty[/color]
アート

[color=green]Hampus Mellin [/color]
サウンドデザイン、音楽

[color=green]Isabelle Neuman[/color]
カットシーンアニメーションサポート

[color=green]Luiza Flôres da Cunha[/color]
ゲームロゴ、ノイズ演技

[font_size={32}]~~~ リソース ~~~ [/font_size]

[color=green]ソフトウェア[/color]
Godot - ゲームエンジン
Asesprite - スプライト作成
Github - ソース管理

[color=green]使用フォント[/color]
M5xy by Daniel Linssen:
https://managore.itch.io/m5x7

Pixelated Elegance by GGBotNet:
https://ggbot.itch.io/pixelated-elegance-font

QuinqueFive by GGBotNet
https://www.dafont.com/quinquefive.font

Equipe 9p by Somepx 
https://somepx.itch.io/pixel-font-equipe

Unifont-16.0.04 by Unifoundry
https://unifoundry.com/unifont/index.html 

VonwaonBitmap by Haoyu Qiu 
https://timothyqiu.itch.io/vonwaon-bitmap 

MaruMonica x12y16px 
https://hicchicc.github.io/00ff/ 

[color=green]サウンドシステム設定に使ったチュートリアル:[/color]
“How I do Sound Effects in Godot” by Aarimous
https://www.youtube.com/watch?v=Egf2jgET3nQ&t=242s

[font_size={32}]~~ Perfect Random~~
マーケティングと流通[/font_size]

Anton Albiin
 
Simon Pos


[font_size={32}]~~~ プレイテスター ~~~ [/font_size]

Luiza Flôres da Cunha
Erik Flôres da Cunha
Malin Larsson
Johanna Larsson
Ture Hellqvist
Tekla Larsson
Billy Rosehag
Lukas Orsvärn
Johanna Österlind
Tanel (Forestherd) Marran
Markus Månsson
Keira Lundberg Larsson
Victor Werngren
Oliver Lincke
Jesper Krogh Kristiansen
Gaspar Stiglich
Markus Noren
InfiRandia
Henry Fåhrelius
Marcus Ingvarsson
Johanna Österlind
Martin Silve
Ossian Borén aka catnipped
Flamegirl & Snorkelitzor
Robert Olsén
Jacob Lind

[font_size={32}]~~~ 特別な感謝 ~~~[/font_size]

Tanel (Forestherd) Marran ハイプ担当ありがとう
Malmö Devhub Game Habitat - 素晴らしいコミュニティとコワーキングスペース <3
The TF Malmö Discord

Lulu Flôres da Cunha 永遠のサポートありがとう

Bye!
","[center]感谢游玩Drill Bird！





[font_size={32}]~~~ DrillBird贡献者 ~~~[/font_size]

[color=green]Sebastian Larsson[/color]
设计、编程、美术

[color=green]Andrea Harty[/color]
美术

[color=green]Hampus Mellin [/color]
音效设计、音乐

[color=green]Isabelle Neuman[/color]
过场动画支持

[color=green]Luiza Flôres da Cunha[/color]
游戏Logo、噪音表演

[font_size={32}]~~~ 资源 ~~~ [/font_size]

[color=green]软件[/color]
Godot - 游戏引擎
Asesprite - 绘制像素图
Github - 代码管理

[color=green]使用字体[/color]
M5xy by Daniel Linssen:
https://managore.itch.io/m5x7

Pixelated Elegance by GGBotNet:
https://ggbot.itch.io/pixelated-elegance-font

QuinqueFive by GGBotNet
https://www.dafont.com/quinquefive.font

Equipe 9p by Somepx 
https://somepx.itch.io/pixel-font-equipe

Unifont-16.0.04 by Unifoundry
https://unifoundry.com/unifont/index.html 

VonwaonBitmap by Haoyu Qiu 
https://timothyqiu.itch.io/vonwaon-bitmap 

MaruMonica x12y16px 
https://hicchicc.github.io/00ff/ 

[color=green]我用来设置音效系统的教程:[/color]
“How I do Sound Effects in Godot” by Aarimous
https://www.youtube.com/watch?v=Egf2jgET3nQ&t=242s

[font_size={32}]~~ Perfect Random~~[/font_size]

Anton Albiin
 
Simon Pos


[font_size={32}]~~~ 测试玩家 ~~~ [/font_size]

Luiza Flôres da Cunha
Erik Flôres da Cunha
Malin Larsson
Johanna Larsson 
Ture Hellqvist 
Tekla Larsson 
Billy Rosehag 
Lukas Orsvärn 
Johanna Österlind
Tanel (Forestherd) Marran
Markus Månsson
Keira Lundberg Larsson
Victor Werngren
Oliver Lincke 
Jesper Krogh Kristiansen 
Gaspar Stiglich
Markus Noren
InfiRandia
Henry Fåhrelius
Marcus Ingvarsson
Johanna Österlind
Martin Silve
Ossian Borén aka catnipped
Flamegirl & Snorkelitzor
Robert Olsén
Jacob Lind


[font_size={32}]~~~ 特别感谢 ~~~[/font_size]

感谢Tanel (Forestherd) Marran 的热情支持
Malmö Devhub Game Habitat - 很棒的社区和协作空间 <3
The TF Malmö Discord

Lulu Flôres da Cunha 的永恒支持

Bye!
","[center]Спасибо за игру в Drill Bird!





[font_size={32}]~~~ Участники DrillBird ~~~[/font_size]

[color=green]Sebastian Larsson[/color]
Дизайн, код, арт

[color=green]Andrea Harty[/color]
Арт

[color=green]Hampus Mellin [/color]
Звуковое оформление, музыка

[color=green]Isabelle Neuman[/color]
Поддержка анимации катсцен

[color=green]Luiza Flôres da Cunha[/color]
Логотип игры, озвучивание шумов

[font_size={32}]~~~ Ресурсы ~~~ [/font_size]

[color=green]Программное обеспечение[/color]
Godot - игровой движок
Asesprite - создание спрайтов
Github - система контроля версий

[color=green]Использованные шрифты[/color]
M5xy by Daniel Linssen:
https://managore.itch.io/m5x7

Pixelated Elegance by GGBotNet:
https://ggbot.itch.io/pixelated-elegance-font

QuinqueFive by GGBotNet
https://www.dafont.com/quinquefive.font

Equipe 9p - Somepx 
https://somepx.itch.io/pixel-font-equipe

Unifont-16.0.04 - Unifoundry
https://unifoundry.com/unifont/index.html 

VonwaonBitmap - Haoyu Qiu 
https://timothyqiu.itch.io/vonwaon-bitmap 

MaruMonica x12y16px 
https://hicchicc.github.io/00ff/ 

[color=green]Туториал, который я использовал для настройки звуков:[/color]
“How I do Sound Effects in Godot” by Aarimous
https://www.youtube.com/watch?v=Egf2jgET3nQ&t=242s

[font_size={32}]~~ Perfect Random~~[/font_size]

Anton Albiin
 
Simon Pos


[font_size={32}]~~~ Тестеры ~~~ [/font_size]

Luiza Flôres da Cunha
Erik Flôres da Cunha
Malin Larsson
Johanna Larsson 
Ture Hellqvist 
Tekla Larsson 
Billy Rosehag 
Lukas Orsvärn 
Johanna Österlind
Tanel (Forestherd) Marran
Markus Månsson
Keira Lundberg Larsson
Victor Werngren
Oliver Lincke 
Jesper Krogh Kristiansen 
Gaspar Stiglich
Markus Noren
InfiRandia
Henry Fåhrelius
Marcus Ingvarsson
Johanna Österlind
Martin Silve
Ossian Borén aka catnipped
Flamegirl & Snorkelitzor
Robert Olsén
Jacob Lind


[font_size={32}]~~~ Особая благодарность ~~~[/font_size]

Tanel (Forestherd) Marran за поддержку и энтузиазм
Malmö Devhub Game Habitat — отличное сообщество и коворкинг <3
The TF Malmö Discord

Lulu Flôres da Cunha за вечную поддержку

Bye!
","[center]Danke, dass du Drill Bird gespielt hast!





[font_size={32}]~~~ Drillbird – Mitwirkende ~~~[/font_size]

[color=green]Sebastian Larsson[/color]
Design, Programmierung, Grafik 

[color=green]Andrea Harty[/color]
Grafik 

[color=green]Hampus Mellin[/color]
Sounddesign, Musik 

[color=green]Isabelle Neuman[/color]
Animationssupport für Zwischensequenzen

[color=green]Luiza Flôres da Cunha[/color]
Spiellogo, Geräuschschauspiel 

[font_size={32}]~~~ Ressourcen ~~~ [/font_size]

[color=green]Software[/color]
Godot – Game Engine  
Aseprite – Sprite-Zeichnung  
GitHub – Versionsverwaltung

[color=green]Verwendete Schriftarten[/color]
M5x7 von Daniel Linssen:  
https://managore.itch.io/m5x7  

Pixelated Elegance von GGBotNet:  
https://ggbot.itch.io/pixelated-elegance-font  

QuinqueFive von GGBotNet  
https://www.dafont.com/quinquefive.font  

Equipe 9p von Somepx 
https://somepx.itch.io/pixel-font-equipe

Unifont-16.0.04 von Unifoundry
https://unifoundry.com/unifont/index.html 

VonwaonBitmap von Haoyu Qiu 
https://timothyqiu.itch.io/vonwaon-bitmap 

MaruMonica x12y16px 
https://hicchicc.github.io/00ff/ 


[color=green]Dieses Tutorial hat mir beim Sound-System geholfen:[/color]  
„How I do Sound Effects in Godot“ von Aarimous  
https://www.youtube.com/watch?v=Egf2jgET3nQ&t=242s  

[font_size={32}]~~ Perfect Random~~[/font_size]

Anton Albiin
 
Simon Pos


[font_size={32}]~~~ Spieltester:innen ~~~ [/font_size]

Luiza Flôres da Cunha  
Erik Flôres da Cunha  
Malin Larsson  
Johanna Larsson  
Ture Hellqvist  
Tekla Larsson  
Billy Rosehag  
Lukas Orsvärn  
Johanna Österlind  
Tanel (Forestherd) Marran  
Markus Månsson  
Keira Lundberg Larsson  
Victor Werngren  
Oliver Lincke  
Jesper Krogh Kristiansen  
Gaspar Stiglich  
Markus Noren  
InfiRandia  
Henry Fåhrelius  
Marcus Ingvarsson  
Johanna Österlind  
Martin Silve  
Ossian Borén aka catnipped  
Flamegirl & Snorkelitzor  
Robert Olsén  
Jacob Lind  

[font_size={32}]~~~ Besonderer Dank ~~~[/font_size]

Tanel (Forestherd) Marran – für endlosen Hype  
Malmö Devhub Game Habitat – eine großartige Community und ein toller Coworking-Space <3  
Der TF Malmö Discord  

Lulu Flôres da Cunha – für deine ewige Unterstützung  





Tschüss!
","[center]Merci d’avoir joué à Drill Bird !





[font_size={32}]~~~ Équipe de développement ~~~[/font_size]

[color=green]Sebastian Larsson[/color]  
Game design, code, graphismes

[color=green]Andrea Harty[/color]  
Graphismes

[color=green]Hampus Mellin[/color]  
Design sonore, musique

[color=green]Isabelle Neuman[/color]  
Animation (cutscenes)

[color=green]Luiza Flôres da Cunha[/color]  
Logo du jeu, bruitages vocaux

[font_size={32}]~~~ Ressources utilisées ~~~ [/font_size]

[color=green]Logiciels[/color]  
Godot – Moteur de jeu  
Aseprite – Dessin de sprites  
GitHub – Gestion de version

[color=green]Polices utilisées[/color]  
M5x7 par Daniel Linssen :  
https://managore.itch.io/m5x7  

Pixelated Elegance par GGBotNet :  
https://ggbot.itch.io/pixelated-elegance-font  

QuinqueFive par GGBotNet :  
https://www.dafont.com/quinquefive.font  

Equipe 9p - Somepx 
https://somepx.itch.io/pixel-font-equipe

Unifont-16.0.04 - Unifoundry
https://unifoundry.com/unifont/index.html 

VonwaonBitmap - Haoyu Qiu 
https://timothyqiu.itch.io/vonwaon-bitmap 

MaruMonica x12y16px 
https://hicchicc.github.io/00ff/ 

[color=green]Et ce tuto m’a aidé à configurer le système audio :[/color]  
“How I do Sound Effects in Godot” par Aarimous  
https://www.youtube.com/watch?v=Egf2jgET3nQ&t=242s  

[font_size={32}]~~ Perfect Random~~[/font_size]

Anton Albiin
 
Simon Pos


[font_size={32}]~~~ Testeurs ~~~ [/font_size]

Luiza Flôres da Cunha  
Erik Flôres da Cunha  
Malin Larsson  
Johanna Larsson  
Ture Hellqvist  
Tekla Larsson  
Billy Rosehag  
Lukas Orsvärn  
Johanna Österlind  
Tanel (Forestherd) Marran  
Markus Månsson  
Keira Lundberg Larsson  
Victor Werngren  
Oliver Lincke  
Jesper Krogh Kristiansen  
Gaspar Stiglich  
Markus Noren  
InfiRandia  
Henry Fåhrelius  
Marcus Ingvarsson  
Johanna Österlind  
Martin Silve  
Ossian Borén aka catnipped  
Flamegirl & Snorkelitzor  
Robert Olsén  
Jacob Lind  

[font_size={32}]~~~ Remerciements spéciaux ~~~[/font_size]

Tanel (Forestherd) Marran – pour tout ton soutien et ton enthousiasme  
Malmö Devhub Game Habitat – une super communauté et un espace de coworking <3  
Le serveur Discord TF Malmö  

Lulu Flôres da Cunha – pour ton soutien inconditionnel





À bientôt !
"
credits_growth,Credits,https://youtu.be/u7hrqY9PqU8?t=569,Growth,Mognad,成長,成长,Рост,Entwicklung,Croissance
credits_evolve_popup,Credits,https://youtu.be/u7hrqY9PqU8?t=634,(inventory) to evolve,(inventory) för att växa upp,(inventory)で成長する,(inventory)进化,(inventory) для развития,Zum Weiterentwickeln (inventory) drücken,(inventory) pour évoluer
credits_thanks_for_playing,Credits,https://youtu.be/u7hrqY9PqU8?t=681,"[center]Thank you for playing Drillbird! 

If you enjoyed the game - 
please tell someone you like about it!

Take care out there
/Seb

[wave][rainbow]Continue[/rainbow][/wave]","[center] Tack för att du spelat Drillbird! 

Om du gillade spelet - berätta om det för någon du tycker om vetja!

Ta hand om dig
/Seb 

[wave][rainbow]Fortsätt[/rainbow][/wave]","[center]『ドリルバード』を遊んでくれてありがとう！

もし気に入ってくれたなら—
ぜひ大切な人に教えてあげてね！

気をつけて
/Seb

[wave][rainbow]つづける[/rainbow][/wave]
","[center]感谢游玩《钻头鸟》！

如果你喜欢这款游戏——
请推荐给你喜欢的人吧！

保重
/Seb

[wave][rainbow]继续游戏[/rainbow][/wave]
","[center]Спасибо за игру в Drillbird!

Если вам понравилась игра —
расскажите о ней кому-нибудь, кто вам дорог!

Берегите себя
/Seb

[wave][rainbow]Продолжить[/rainbow][/wave]
","[center]Danke, dass du Drillbird gespielt hast!

Wenn dir das Spiel gefallen hat –  
erzähl jemandem davon, den du magst!

Pass gut auf dich auf  
/Seb

[wave][rainbow]Fortfahren[/rainbow][/wave]","[center]Merci d’avoir joué à Drillbird !

Si tu as aimé le jeu –  
parle-en à quelqu’un que tu aimes bien !

Prends soin de toi  
/Seb

[wave][rainbow]Continuer[/rainbow][/wave]
"
credits_stats_header,Credits_stats,https://youtu.be/u7hrqY9PqU8?t=696,[center]Final Stats,[center]Slutresultat,[center]最終結果,[center]最终统计,[center]Итоговая статистика,[center]Endstatistik,[center]Statistiques finales
credits_stats_hatchtime,Credits_stats,^,Days taken to hatch: ,Antal dagar till kläckning: ,孵化までの日数:,孵化所需天数:,Дней до вылупления:,Anzahl der Tage bis zum Schlüpfen:,Jours avant l’éclosion :
credits_stats_timetaken,,,Time taken:,Tid:,,,,,
credits_stats_kills,,,Kills:,,,,,,
credits_stats_ores,Credits_stats,^,Ores given to egg: ,Mineraler som getts till ägget: ,卵にあげた鉱石の数:,给蛋的矿石数:,Руды отдано яйцу:,An das Ei verfütterte Erze:,Minerais offerts à l’œuf :
credits_stats_continue,Credits_stats,^,Continue,Fortsätt,続ける,继续,Продолжить,Fortfahren,Continuer 
credits_reset_save_data_erasedata,Credits_choice,https://youtu.be/u7hrqY9PqU8?t=724,"[center]Would you like to reset your save data and begin anew, or return to right before you hatched the egg? [p][/p] [center]  [wave][rainbow]Begin Anew[/rainbow][/wave]     Go back in time","Vill du ta bort din sparfil och börja om ifrån början, eller gå tillbaka till precis innan ägget kläcktes? 
[p][/p] [center]  [wave][rainbow]Börja om[/rainbow][/wave]     Gå tillbaka i tiden",[center]セーブデータをリセットして最初からやり直しますか？それとも卵が孵る直前に戻りますか？ [p][/p] [center] [wave][rainbow]最初から[/rainbow][/wave] 時間を戻す,[center]您想重置存档重新开始，还是回到孵化蛋之前？ [p][/p] [center] [wave][rainbow]重新开始[/rainbow][/wave] 回到过去,[center]Хотите сбросить сохранение и начать сначала или вернуться к моменту перед вылуплением яйца? [p][/p] [center] [wave][rainbow]Начать заново[/rainbow][/wave] Вернуться во времени,"[center]Möchtest du deinen Spielstand zurücksetzen und ganz von vorne beginnen,  
oder lieber zu dem Moment zurückkehren, bevor das Ei geschlüpft ist?  
[p][/p]  
[center]  [wave][rainbow]Neu beginnen[/rainbow][/wave]     In der Zeit zurückreisen","[center]Souhaites-tu réinitialiser ta sauvegarde pour recommencer depuis le début,  
ou revenir juste avant l’éclosion de l’œuf ?  
[p][/p]  
[center]  [wave][rainbow]Tout recommencer[/rainbow][/wave]     Revenir en arrière
"
credits_reset_save_data_goback,Credits_choice,^,"[center]Would you like to reset your save data and begin anew, or return to right before you hatched the egg? [p][/p] [center] Begin Anew      [wave][rainbow]Go back in time[/rainbow][/wave]","Vill du ta bort din sparfil och börja om ifrån början, eller gå tillbaka till precis innan ägget kläcktes? 
[p][/p] [center]  Börja om   [wave][rainbow]Gå tillbaka i tiden[/rainbow][/wave]  ",[center]セーブデータをリセットして最初からやり直しますか？それとも卵が孵る直前に戻りますか？ [p][/p] [center] 最初から [wave][rainbow]時間を戻す[/rainbow][/wave],[center]您想重置存档重新开始，还是回到孵化蛋之前？ [p][/p] [center] 重新开始 [wave][rainbow]回到过去[/rainbow][/wave],[center]Хотите сбросить сохранение и начать сначала или вернуться к моменту перед вылуплением яйца? [p][/p] [center] Начать заново [wave][rainbow]Вернуться во времени[/rainbow][/wave],"[center]Möchtest du deinen Spielstand zurücksetzen und ganz von vorne beginnen,  
oder lieber zu dem Moment zurückkehren, bevor das Ei geschlüpft ist?  
[p][/p]  
[center]  Neu beginnen   [wave][rainbow]In der Zeit zurückreisen[/rainbow][/wave]","[center]Souhaites-tu réinitialiser ta sauvegarde pour recommencer depuis le début,  
ou revenir juste avant l’éclosion de l’œuf ?  
[p][/p]  
[center]  Tout recommencer   [wave][rainbow]Revenir en arrière[/rainbow][/wave]"